Temp,Humidity,visibility,air_pressure,Wind_speed,Datetime
13°C,Rel.humidity:44%,Visibility:>10000m,"Pressure:1027.0mbScatteredCloudsat760m,ScatteredCloudsat2100m",Wind: 22  Km/h,Latest report 9m ago(18:30 Local time)
13°C,Rel.humidity:44%,Visibility:>10000m,"Pressure:1027.0mbScatteredCloudsat760m,ScatteredCloudsat2100m",Wind: 22  Km/h,Latest report 9m ago(18:30 Local time)
13°C,Rel.humidity:44%,Visibility:>10000m,"Pressure:1027.0mbScatteredCloudsat760m,ScatteredCloudsat2100m",Wind: 22  Km/h,Latest report 9m ago(18:30 Local time)
13°C,Rel.humidity:44%,Visibility:>10000m,"Pressure:1027.0mbScatteredCloudsat760m,ScatteredCloudsat2100m",Wind: 22  Km/h,Latest report 9m ago(18:30 Local time)
13°C,Rel.humidity:44%,Visibility:>10000m,"Pressure:1027.0mbScatteredCloudsat760m,ScatteredCloudsat2100m",Wind: 22  Km/h,Latest report 9m ago(18:30 Local time)
13°C,Rel.humidity:44%,Visibility:>10000m,"Pressure:1027.0mbScatteredCloudsat760m,ScatteredCloudsat2100m",Wind: 22  Km/h,Latest report 9m ago(18:30 Local time)
13°C,Rel.humidity:44%,Visibility:>10000m,"Pressure:1027.0mbScatteredCloudsat760m,ScatteredCloudsat2100m",Wind: 22  Km/h,Latest report 9m ago(18:30 Local time)
13°C,Rel.humidity:44%,Visibility:>10000m,"Pressure:1027.0mbScatteredCloudsat760m,ScatteredCloudsat2100m",Wind: 22  Km/h,Latest report 9m ago(18:30 Local time)
13°C,Rel.humidity:44%,Visibility:>10000m,"Pressure:1027.0mbScatteredCloudsat760m,ScatteredCloudsat2100m",Wind: 22  Km/h,Latest report 9m ago(18:30 Local time)
13°C,Rel.humidity:44%,Visibility:>10000m,"Pressure:1027.0mbScatteredCloudsat760m,ScatteredCloudsat2100m",Wind: 22  Km/h,Latest report 9m ago(18:30 Local time)
